year,geography,geography_type,indicator,value,value_type
2013,Lewis,County,Diazepam,359,Patients
2013,Lewis,County,Lorazepam,290,Patients
2013,Lewis,County,All Opioids for Pain,4823,Patients
2013,Lewis,County,Hydrocodone,3748,Patients
2013,Lewis,County,Oxycodone,1101,Patients
2013,Lewis,County,Tramadol,795,Patients
2013,Lewis,County,All Benzodiazepines,1108,Rate
2013,Lewis,County,Alprazolam,633,Rate
2013,Lewis,County,Clonazepam,206,Rate
2013,Lewis,County,Diazepam,106,Rate
2013,Lewis,County,Lorazepam,119,Rate
2013,Lewis,County,All Opioids for Pain,2112,Rate
2013,Lewis,County,Hydrocodone,1288,Rate
2013,Lewis,County,Oxycodone,363,Rate
2013,Lewis,County,Tramadol,182,Rate
2013,Lincoln,County,All Benzodiazepines,21144,Count
2013,Lincoln,County,Alprazolam,9032,Count
2013,Lincoln,County,Clonazepam,4411,Count
2013,Lincoln,County,Diazepam,2508,Count
2013,Lincoln,County,Lorazepam,3580,Count
2013,Lincoln,County,All Opioids for Pain,43983,Count
2013,Lincoln,County,Hydrocodone,26707,Count
2013,Lincoln,County,Oxycodone,7083,Count
2013,Lincoln,County,Tramadol,4889,Count
2013,Lincoln,County,All Benzodiazepines,3913,Patients
2013,Lincoln,County,Alprazolam,1654,Patients
2013,Lincoln,County,Clonazepam,878,Patients
2013,Lincoln,County,Diazepam,644,Patients
2013,Lincoln,County,Lorazepam,856,Patients
2013,Lincoln,County,All Opioids for Pain,9982,Patients
2013,Lincoln,County,Hydrocodone,7696,Patients
2013,Lincoln,County,Oxycodone,2111,Patients
2013,Lincoln,County,Tramadol,1849,Patients
2013,Lincoln,County,All Benzodiazepines,629,Rate
2013,Lincoln,County,Alprazolam,269,Rate
2013,Lincoln,County,Clonazepam,131,Rate
2013,Lincoln,County,Diazepam,75,Rate
2013,Lincoln,County,Lorazepam,106,Rate
2013,Lincoln,County,All Opioids for Pain,1308,Rate
2013,Lincoln,County,Hydrocodone,794,Rate
2013,Lincoln,County,Oxycodone,211,Rate
2013,Lincoln,County,Tramadol,145,Rate
2013,Loudon,County,All Benzodiazepines,30940,Count
2013,Loudon,County,Alprazolam,12465,Count
2013,Loudon,County,Clonazepam,7261,Count
2013,Loudon,County,Diazepam,3964,Count
2013,Loudon,County,Lorazepam,4814,Count
2013,Loudon,County,All Opioids for Pain,66662,Count
2013,Loudon,County,Hydrocodone,30073,Count
2013,Loudon,County,Oxycodone,17074,Count
2013,Loudon,County,Tramadol,7315,Count
2013,Loudon,County,All Benzodiazepines,6267,Patients
2013,Loudon,County,Alprazolam,2424,Patients
2013,Loudon,County,Clonazepam,1416,Patients
2013,Loudon,County,Diazepam,1156,Patients
2013,Loudon,County,Lorazepam,1376,Patients
2013,Loudon,County,All Opioids for Pain,15784,Patients
2013,Loudon,County,Hydrocodone,10795,Patients
2013,Loudon,County,Oxycodone,4605,Patients
2013,Loudon,County,Tramadol,2708,Patients
2013,Loudon,County,All Benzodiazepines,613,Rate
2013,Loudon,County,Alprazolam,247,Rate
2013,Loudon,County,Clonazepam,144,Rate
2013,Loudon,County,Diazepam,79,Rate
2013,Loudon,County,Lorazepam,95,Rate
2013,Loudon,County,All Opioids for Pain,1321,Rate
2013,Loudon,County,Hydrocodone,596,Rate
2013,Loudon,County,Oxycodone,338,Rate
2013,Loudon,County,Tramadol,145,Rate
2013,Macon,County,All Benzodiazepines,19145,Count
2013,Macon,County,Alprazolam,10683,Count
2013,Macon,County,Clonazepam,2375,Count
2013,Macon,County,Diazepam,2808,Count
2013,Macon,County,Lorazepam,1906,Count
2013,Macon,County,All Opioids for Pain,37224,Count
2013,Macon,County,Hydrocodone,22899,Count
2013,Macon,County,Oxycodone,6132,Count
2013,Macon,County,Tramadol,3083,Count
2013,Macon,County,All Benzodiazepines,3377,Patients
2013,Macon,County,Alprazolam,1739,Patients
2013,Macon,County,Clonazepam,483,Patients
2013,Macon,County,Diazepam,787,Patients
2013,Macon,County,Lorazepam,467,Patients
2013,Macon,County,All Opioids for Pain,7339,Patients
2013,Macon,County,Hydrocodone,5639,Patients
2013,Macon,County,Oxycodone,1801,Patients
2013,Macon,County,Tramadol,1107,Patients
2013,Macon,County,All Benzodiazepines,843,Rate
2013,Macon,County,Alprazolam,471,Rate
2013,Macon,County,Clonazepam,105,Rate
2013,Macon,County,Diazepam,124,Rate
2013,Macon,County,Lorazepam,84,Rate
2013,Macon,County,All Opioids for Pain,1640,Rate
2013,Macon,County,Hydrocodone,1009,Rate
2013,Macon,County,Oxycodone,270,Rate
2013,Macon,County,Tramadol,136,Rate
2013,Madison,County,All Benzodiazepines,64244,Count
2013,Madison,County,Alprazolam,38706,Count
2013,Madison,County,Clonazepam,7680,Count
2013,Madison,County,Diazepam,5126,Count
2013,Madison,County,Lorazepam,8777,Count
2013,Madison,County,All Opioids for Pain,129053,Count
2013,Madison,County,Hydrocodone,81208,Count
2013,Madison,County,Oxycodone,15667,Count
2013,Madison,County,Tramadol,15206,Count
2013,Madison,County,All Benzodiazepines,12389,Patients
2013,Madison,County,Alprazolam,7520,Patients
2013,Madison,County,Clonazepam,1558,Patients
2013,Madison,County,Diazepam,1688,Patients
2013,Madison,County,Lorazepam,2036,Patients
2013,Madison,County,All Opioids for Pain,32147,Patients
2013,Madison,County,Hydrocodone,24183,Patients
2013,Madison,County,Oxycodone,6165,Patients
2013,Madison,County,Tramadol,5998,Patients
2013,Madison,County,All Benzodiazepines,651,Rate
2013,Madison,County,Alprazolam,392,Rate
2013,Madison,County,Clonazepam,78,Rate
2013,Madison,County,Diazepam,52,Rate
2013,Madison,County,Lorazepam,89,Rate
2013,Madison,County,All Opioids for Pain,1307,Rate
2013,Madison,County,Hydrocodone,823,Rate
2013,Madison,County,Oxycodone,159,Rate
2013,Madison,County,Tramadol,154,Rate
2013,Marion,County,All Benzodiazepines,23949,Count
2013,Marion,County,Alprazolam,11289,Count
2013,Marion,County,Clonazepam,3902,Count
2013,Marion,County,Diazepam,3433,Count
2013,Marion,County,Lorazepam,3161,Count
2013,Marion,County,All Opioids for Pain,53696,Count
2013,Marion,County,Hydrocodone,29586,Count
2013,Marion,County,Oxycodone,11370,Count
2013,Marion,County,Tramadol,4776,Count
2013,Marion,County,All Benzodiazepines,4310,Patients
2013,Marion,County,Alprazolam,1942,Patients
2013,Marion,County,Clonazepam,765,Patients
2013,Marion,County,Diazepam,883,Patients
2013,Marion,County,Lorazepam,819,Patients
2013,Marion,County,All Opioids for Pain,10788,Patients
2013,Marion,County,Hydrocodone,7731,Patients
2013,Marion,County,Oxycodone,3028,Patients
2013,Marion,County,Tramadol,1860,Patients
2013,Marion,County,All Benzodiazepines,844,Rate
2013,Marion,County,Alprazolam,398,Rate
2013,Marion,County,Clonazepam,138,Rate
2013,Marion,County,Diazepam,121,Rate
2013,Marion,County,Lorazepam,111,Rate
2013,Marion,County,All Opioids for Pain,1892,Rate
2013,Marion,County,Hydrocodone,1043,Rate
2013,Marion,County,Oxycodone,401,Rate
2013,Marion,County,Tramadol,168,Rate
2013,Marshall,County,All Benzodiazepines,24374,Count
2013,Marshall,County,Alprazolam,13102,Count
2013,Marshall,County,Clonazepam,3010,Count
2013,Marshall,County,Diazepam,3076,Count
2013,Marshall,County,Lorazepam,3580,Count
2013,Marshall,County,All Opioids for Pain,53461,Count
2013,Marshall,County,Hydrocodone,30670,Count
2013,Marshall,County,Oxycodone,11002,Count
2013,Marshall,County,Tramadol,4936,Count
2013,Marshall,County,All Benzodiazepines,4272,Patients
2013,Marshall,County,Alprazolam,2224,Patients
2013,Marshall,County,Clonazepam,565,Patients
2013,Marshall,County,Diazepam,863,Patients
2013,Marshall,County,Lorazepam,811,Patients
2013,Marshall,County,All Opioids for Pain,10723,Patients
2013,Marshall,County,Hydrocodone,8200,Patients
2013,Marshall,County,Oxycodone,2790,Patients
2013,Marshall,County,Tramadol,1746,Patients
2013,Marshall,County,All Benzodiazepines,783,Rate
2013,Marshall,County,Alprazolam,421,Rate
2013,Marshall,County,Clonazepam,97,Rate
2013,Marshall,County,Diazepam,99,Rate
2013,Marshall,County,Lorazepam,115,Rate
2013,Marshall,County,All Opioids for Pain,1717,Rate
2013,Marshall,County,Hydrocodone,985,Rate
2013,Marshall,County,Oxycodone,353,Rate
2013,Marshall,County,Tramadol,159,Rate
2013,Maury,County,All Benzodiazepines,51553,Count
2013,Maury,County,Alprazolam,24293,Count
2013,Maury,County,Clonazepam,9551,Count
2013,Maury,County,Diazepam,6986,Count
2013,Maury,County,Lorazepam,6868,Count
2013,Maury,County,All Opioids for Pain,114314,Count
2013,Maury,County,Hydrocodone,63430,Count
2013,Maury,County,Oxycodone,22269,Count
2013,Maury,County,Tramadol,12474,Count
2013,Maury,County,All Benzodiazepines,10311,Patients
2013,Maury,County,Alprazolam,4881,Patients
2013,Maury,County,Clonazepam,1864,Patients
2013,Maury,County,Diazepam,2218,Patients
2013,Maury,County,Lorazepam,1849,Patients
2013,Maury,County,All Opioids for Pain,27244,Patients
2013,Maury,County,Hydrocodone,20038,Patients
2013,Maury,County,Oxycodone,6932,Patients
2013,Maury,County,Tramadol,5038,Patients
2013,Maury,County,All Benzodiazepines,615,Rate
2013,Maury,County,Alprazolam,290,Rate
2013,Maury,County,Clonazepam,114,Rate
2013,Maury,County,Diazepam,83,Rate
2013,Maury,County,Lorazepam,82,Rate
2013,Maury,County,All Opioids for Pain,1365,Rate
2013,Maury,County,Hydrocodone,757,Rate
2013,Maury,County,Oxycodone,266,Rate
2013,Maury,County,Tramadol,149,Rate
2013,McMinn,County,All Benzodiazepines,51339,Count
2013,McMinn,County,Alprazolam,30873,Count
2013,McMinn,County,Clonazepam,6635,Count
2013,McMinn,County,Diazepam,5208,Count
2013,McMinn,County,Lorazepam,5574,Count
2013,McMinn,County,All Opioids for Pain,91914,Count
2013,McMinn,County,Hydrocodone,47252,Count
2013,McMinn,County,Oxycodone,24026,Count
2013,McMinn,County,Tramadol,8294,Count
2013,McMinn,County,All Benzodiazepines,8570,Patients
2013,McMinn,County,Alprazolam,4924,Patients
2013,McMinn,County,Clonazepam,1220,Patients
2013,McMinn,County,Diazepam,1525,Patients
2013,McMinn,County,Lorazepam,1261,Patients
2013,McMinn,County,All Opioids for Pain,19054,Patients
2013,McMinn,County,Hydrocodone,13579,Patients
2013,McMinn,County,Oxycodone,5673,Patients
2013,McMinn,County,Tramadol,3241,Patients
2013,McMinn,County,All Benzodiazepines,981,Rate
2013,McMinn,County,Alprazolam,590,Rate
2013,McMinn,County,Clonazepam,127,Rate
2013,McMinn,County,Diazepam,100,Rate
2013,McMinn,County,Lorazepam,106,Rate
2013,McMinn,County,All Opioids for Pain,1756,Rate
2013,McMinn,County,Hydrocodone,903,Rate
2013,McMinn,County,Oxycodone,459,Rate
2013,McMinn,County,Tramadol,158,Rate
2013,McNairy,County,All Benzodiazepines,26696,Count
2013,McNairy,County,Alprazolam,15040,Count
2013,McNairy,County,Clonazepam,4308,Count
2013,McNairy,County,Diazepam,2326,Count
2013,McNairy,County,Lorazepam,3422,Count
2013,McNairy,County,All Opioids for Pain,47368,Count
2013,McNairy,County,Hydrocodone,29222,Count
2013,McNairy,County,Oxycodone,5695,Count
2013,McNairy,County,Tramadol,5416,Count
2013,McNairy,County,All Benzodiazepines,4527,Patients
2013,McNairy,County,Alprazolam,2658,Patients
2013,McNairy,County,Clonazepam,755,Patients
2013,McNairy,County,Diazepam,610,Patients
2013,McNairy,County,Lorazepam,733,Patients
2013,McNairy,County,All Opioids for Pain,9482,Patients
2013,McNairy,County,Hydrocodone,6981,Patients
2013,McNairy,County,Oxycodone,1910,Patients
2013,McNairy,County,Tramadol,1986,Patients
2013,McNairy,County,All Benzodiazepines,1021,Rate
2013,McNairy,County,Alprazolam,575,Rate
2013,McNairy,County,Clonazepam,165,Rate
2013,McNairy,County,Diazepam,89,Rate
2013,McNairy,County,Lorazepam,131,Rate
2013,McNairy,County,All Opioids for Pain,1812,Rate
2013,McNairy,County,Hydrocodone,1118,Rate
2013,McNairy,County,Oxycodone,218,Rate
2013,McNairy,County,Tramadol,207,Rate
2013,Meigs,County,All Benzodiazepines,11253,Count
2013,Meigs,County,Alprazolam,6118,Count
2013,Meigs,County,Clonazepam,1889,Count
2013,Meigs,County,Diazepam,1326,Count
2013,Meigs,County,Lorazepam,1432,Count
2013,Meigs,County,All Opioids for Pain,22835,Count
2013,Meigs,County,Hydrocodone,12363,Count
2013,Meigs,County,Oxycodone,5446,Count
2013,Meigs,County,Tramadol,1847,Count
2013,Meigs,County,All Benzodiazepines,1940,Patients
2013,Meigs,County,Alprazolam,1004,Patients
2013,Meigs,County,Clonazepam,336,Patients
2013,Meigs,County,Diazepam,369,Patients
2013,Meigs,County,Lorazepam,328,Patients
2013,Meigs,County,All Opioids for Pain,4651,Patients
2013,Meigs,County,Hydrocodone,3310,Patients
2013,Meigs,County,Oxycodone,1296,Patients
2013,Meigs,County,Tramadol,814,Patients
2013,Meigs,County,All Benzodiazepines,966,Rate
2013,Meigs,County,Alprazolam,525,Rate
2013,Meigs,County,Clonazepam,162,Rate
2013,Meigs,County,Diazepam,114,Rate
2013,Meigs,County,Lorazepam,123,Rate
2013,Meigs,County,All Opioids for Pain,1960,Rate
2013,Meigs,County,Hydrocodone,1061,Rate
2013,Meigs,County,Oxycodone,468,Rate
2013,Meigs,County,Tramadol,159,Rate
2013,Memphis and Shelby Metro,Region,All Benzodiazepines,289748,Count
2013,Memphis and Shelby Metro,Region,Alprazolam,129453,Count
2013,Memphis and Shelby Metro,Region,Clonazepam,53374,Count
2013,Memphis and Shelby Metro,Region,Diazepam,29452,Count
2013,Memphis and Shelby Metro,Region,Lorazepam,50929,Count
2013,Memphis and Shelby Metro,Region,All Opioids for Pain,718103,Count
2013,Memphis and Shelby Metro,Region,Hydrocodone,401608,Count
2013,Memphis and Shelby Metro,Region,Oxycodone,127624,Count
2013,Memphis and Shelby Metro,Region,Tramadol,90973,Count
2013,Memphis and Shelby Metro,Region,All Benzodiazepines,64470,Patients
2013,Memphis and Shelby Metro,Region,Alprazolam,28996,Patients
2013,Memphis and Shelby Metro,Region,Clonazepam,10713,Patients
2013,Memphis and Shelby Metro,Region,Diazepam,11121,Patients
2013,Memphis and Shelby Metro,Region,Lorazepam,14599,Patients
2013,Memphis and Shelby Metro,Region,All Opioids for Pain,233756,Patients
2013,Memphis and Shelby Metro,Region,Hydrocodone,162065,Patients
2013,Memphis and Shelby Metro,Region,Oxycodone,58126,Patients
2013,Memphis and Shelby Metro,Region,Tramadol,44502,Patients
2013,Memphis and Shelby Metro,Region,All Benzodiazepines,308,Rate
2013,Memphis and Shelby Metro,Region,Alprazolam,138,Rate
2013,Memphis and Shelby Metro,Region,Clonazepam,57,Rate
2013,Memphis and Shelby Metro,Region,Diazepam,31,Rate
2013,Memphis and Shelby Metro,Region,Lorazepam,54,Rate
2013,Memphis and Shelby Metro,Region,All Opioids for Pain,764,Rate
2013,Memphis and Shelby Metro,Region,Hydrocodone,427,Rate
2013,Memphis and Shelby Metro,Region,Oxycodone,136,Rate
2013,Memphis and Shelby Metro,Region,Tramadol,97,Rate
2013,Mid-Cumberland,Region,All Benzodiazepines,571770,Count
2013,Mid-Cumberland,Region,Alprazolam,246238,Count
2013,Mid-Cumberland,Region,Clonazepam,113542,Count
2013,Mid-Cumberland,Region,Diazepam,85699,Count
2013,Mid-Cumberland,Region,Lorazepam,81281,Count
2013,Mid-Cumberland,Region,All Opioids for Pain,1263745,Count
2013,Mid-Cumberland,Region,Hydrocodone,649128,Count
2013,Mid-Cumberland,Region,Oxycodone,281935,Count
2013,Mid-Cumberland,Region,Tramadol,123114,Count
2013,Mid-Cumberland,Region,All Benzodiazepines,118793,Patients
2013,Mid-Cumberland,Region,Alprazolam,50725,Patients
2013,Mid-Cumberland,Region,Clonazepam,22546,Patients
2013,Mid-Cumberland,Region,Diazepam,28443,Patients
2013,Mid-Cumberland,Region,Lorazepam,21809,Patients
2013,Mid-Cumberland,Region,All Opioids for Pain,306993,Patients
2013,Mid-Cumberland,Region,Hydrocodone,215890,Patients
2013,Mid-Cumberland,Region,Oxycodone,88301,Patients
2013,Mid-Cumberland,Region,Tramadol,50961,Patients
2013,Mid-Cumberland,Region,All Benzodiazepines,493,Rate
2013,Mid-Cumberland,Region,Alprazolam,212,Rate
2013,Mid-Cumberland,Region,Clonazepam,98,Rate
2013,Mid-Cumberland,Region,Diazepam,74,Rate
2013,Mid-Cumberland,Region,Lorazepam,70,Rate
2013,Mid-Cumberland,Region,All Opioids for Pain,1090,Rate
2013,Mid-Cumberland,Region,Hydrocodone,560,Rate
2013,Mid-Cumberland,Region,Oxycodone,243,Rate
2013,Mid-Cumberland,Region,Tramadol,106,Rate
2013,Monroe,County,All Benzodiazepines,31020,Count
2013,Monroe,County,Alprazolam,12568,Count
2013,Monroe,County,Clonazepam,8709,Count
2013,Monroe,County,Diazepam,3891,Count
2013,Monroe,County,Lorazepam,4398,Count
2013,Monroe,County,All Opioids for Pain,72169,Count
2013,Monroe,County,Hydrocodone,35783,Count
2013,Monroe,County,Oxycodone,18351,Count
2013,Monroe,County,Tramadol,6825,Count
2013,Monroe,County,All Benzodiazepines,5834,Patients
2013,Monroe,County,Alprazolam,2261,Patients
2013,Monroe,County,Clonazepam,1585,Patients
2013,Monroe,County,Diazepam,1143,Patients
2013,Monroe,County,Lorazepam,1138,Patients
2013,Monroe,County,All Opioids for Pain,15464,Patients
2013,Monroe,County,Hydrocodone,10898,Patients
2013,Monroe,County,Oxycodone,4647,Patients
2013,Monroe,County,Tramadol,2626,Patients
2013,Monroe,County,All Benzodiazepines,685,Rate
2013,Monroe,County,Alprazolam,278,Rate
2013,Monroe,County,Clonazepam,192,Rate
2013,Monroe,County,Diazepam,86,Rate
2013,Monroe,County,Lorazepam,97,Rate
2013,Monroe,County,All Opioids for Pain,1594,Rate
2013,Monroe,County,Hydrocodone,791,Rate
2013,Monroe,County,Oxycodone,405,Rate
2013,Monroe,County,Tramadol,151,Rate
2013,Montgomery,County,All Benzodiazepines,65986,Count
2013,Montgomery,County,Alprazolam,27895,Count
2013,Montgomery,County,Clonazepam,12418,Count
2013,Montgomery,County,Diazepam,10718,Count
2013,Montgomery,County,Lorazepam,9260,Count
2013,Montgomery,County,All Opioids for Pain,168265,Count
2013,Montgomery,County,Hydrocodone,84587,Count
2013,Montgomery,County,Oxycodone,39793,Count
2013,Montgomery,County,Tramadol,14503,Count
2013,Montgomery,County,All Benzodiazepines,13593,Patients
2013,Montgomery,County,Alprazolam,5862,Patients
2013,Montgomery,County,Clonazepam,2525,Patients
2013,Montgomery,County,Diazepam,3257,Patients
2013,Montgomery,County,Lorazepam,2400,Patients
2013,Montgomery,County,All Opioids for Pain,40797,Patients
2013,Montgomery,County,Hydrocodone,28939,Patients
2013,Montgomery,County,Oxycodone,10841,Patients
2013,Montgomery,County,Tramadol,5968,Patients
2013,Montgomery,County,All Benzodiazepines,358,Rate
2013,Montgomery,County,Alprazolam,152,Rate
2013,Montgomery,County,Clonazepam,67,Rate
2013,Montgomery,County,Diazepam,58,Rate
2013,Montgomery,County,Lorazepam,50,Rate
2013,Montgomery,County,All Opioids for Pain,914,Rate
2013,Montgomery,County,Hydrocodone,459,Rate
2013,Montgomery,County,Oxycodone,216,Rate
2013,Montgomery,County,Tramadol,79,Rate
2013,Moore,County,All Benzodiazepines,4019,Count
2013,Moore,County,Alprazolam,1991,Count
2013,Moore,County,Clonazepam,525,Count
2013,Moore,County,Diazepam,428,Count
2013,Moore,County,Lorazepam,737,Count
2013,Moore,County,All Opioids for Pain,9314,Count
2013,Moore,County,Hydrocodone,4983,Count
2013,Moore,County,Oxycodone,1647,Count
2013,Moore,County,Tramadol,1140,Count
2013,Moore,County,All Benzodiazepines,808,Patients
2013,Moore,County,Alprazolam,398,Patients
2013,Moore,County,Clonazepam,114,Patients
2013,Moore,County,Diazepam,136,Patients
2013,Moore,County,Lorazepam,187,Patients
2013,Moore,County,All Opioids for Pain,2085,Patients
2013,Moore,County,Hydrocodone,1525,Patients
2013,Moore,County,Oxycodone,506,Patients
2013,Moore,County,Tramadol,379,Patients
2013,Moore,County,All Benzodiazepines,638,Rate
2013,Moore,County,Alprazolam,316,Rate
2013,Moore,County,Clonazepam,83,Rate
2013,Moore,County,Diazepam,68,Rate
2013,Moore,County,Lorazepam,117,Rate
2013,Moore,County,All Opioids for Pain,1478,Rate
2013,Moore,County,Hydrocodone,791,Rate
2013,Moore,County,Oxycodone,261,Rate
2013,Moore,County,Tramadol,181,Rate
2013,Morgan,County,All Benzodiazepines,16732,Count
2013,Morgan,County,Alprazolam,7625,Count
2013,Morgan,County,Clonazepam,3114,Count
2013,Morgan,County,Diazepam,2311,Count
2013,Morgan,County,Lorazepam,2737,Count
2013,Morgan,County,All Opioids for Pain,43301,Count
2013,Morgan,County,Hydrocodone,15416,Count
2013,Morgan,County,Oxycodone,18005,Count
2013,Morgan,County,Tramadol,2302,Count
2013,Morgan,County,All Benzodiazepines,2882,Patients
2013,Morgan,County,Alprazolam,1263,Patients
2013,Morgan,County,Clonazepam,574,Patients
2013,Morgan,County,Diazepam,635,Patients
2013,Morgan,County,Lorazepam,564,Patients
2013,Morgan,County,All Opioids for Pain,7321,Patients
2013,Morgan,County,Hydrocodone,4558,Patients
2013,Morgan,County,Oxycodone,3103,Patients
2013,Morgan,County,Tramadol,855,Patients
2013,Morgan,County,All Benzodiazepines,763,Rate
2013,Morgan,County,Alprazolam,348,Rate
2013,Morgan,County,Clonazepam,142,Rate
2013,Morgan,County,Diazepam,105,Rate
2013,Morgan,County,Lorazepam,125,Rate
2013,Morgan,County,All Opioids for Pain,1976,Rate
2013,Morgan,County,Hydrocodone,703,Rate
2013,Morgan,County,Oxycodone,822,Rate
2013,Morgan,County,Tramadol,105,Rate
2013,Nashville and Davidson Metro,Region,All Benzodiazepines,271388,Count
2013,Nashville and Davidson Metro,Region,Alprazolam,113102,Count
2013,Nashville and Davidson Metro,Region,Clonazepam,56723,Count
2013,Nashville and Davidson Metro,Region,Diazepam,40656,Count
2013,Nashville and Davidson Metro,Region,Lorazepam,39083,Count
2013,Nashville and Davidson Metro,Region,All Opioids for Pain,619093,Count
2013,Nashville and Davidson Metro,Region,Hydrocodone,332166,Count
2013,Nashville and Davidson Metro,Region,Oxycodone,131196,Count
2013,Nashville and Davidson Metro,Region,Tramadol,64894,Count
2013,Nashville and Davidson Metro,Region,All Benzodiazepines,58161,Patients
2013,Nashville and Davidson Metro,Region,Alprazolam,24210,Patients
2013,Nashville and Davidson Metro,Region,Clonazepam,11548,Patients
2013,Nashville and Davidson Metro,Region,Diazepam,13445,Patients
2013,Nashville and Davidson Metro,Region,Lorazepam,11006,Patients
2013,Nashville and Davidson Metro,Region,All Opioids for Pain,165561,Patients
2013,Nashville and Davidson Metro,Region,Hydrocodone,115357,Patients
2013,Nashville and Davidson Metro,Region,Oxycodone,47544,Patients
2013,Nashville and Davidson Metro,Region,Tramadol,28958,Patients
2013,Nashville and Davidson Metro,Region,All Benzodiazepines,412,Rate
2013,Nashville and Davidson Metro,Region,Alprazolam,172,Rate
2013,Nashville and Davidson Metro,Region,Clonazepam,86,Rate
2013,Nashville and Davidson Metro,Region,Diazepam,62,Rate
2013,Nashville and Davidson Metro,Region,Lorazepam,59,Rate
2013,Nashville and Davidson Metro,Region,All Opioids for Pain,940,Rate
2013,Nashville and Davidson Metro,Region,Hydrocodone,504,Rate
2013,Nashville and Davidson Metro,Region,Oxycodone,199,Rate
2013,Nashville and Davidson Metro,Region,Tramadol,99,Rate
2013,Northeast Tennessee,Region,All Benzodiazepines,332120,Count
2013,Northeast Tennessee,Region,Alprazolam,137835,Count
2013,Northeast Tennessee,Region,Clonazepam,79338,Count
2013,Northeast Tennessee,Region,Diazepam,42484,Count
2013,Northeast Tennessee,Region,Lorazepam,52648,Count
2013,Northeast Tennessee,Region,All Opioids for Pain,533048,Count
2013,Northeast Tennessee,Region,Hydrocodone,273740,Count
2013,Northeast Tennessee,Region,Oxycodone,118190,Count
2013,Northeast Tennessee,Region,Tramadol,62559,Count
2013,Northeast Tennessee,Region,All Benzodiazepines,50976,Patients
2013,Northeast Tennessee,Region,Alprazolam,22249,Patients
2013,Northeast Tennessee,Region,Clonazepam,10774,Patients
2013,Northeast Tennessee,Region,Diazepam,8948,Patients
2013,Northeast Tennessee,Region,Lorazepam,10976,Patients
2013,Northeast Tennessee,Region,All Opioids for Pain,104411,Patients
2013,Northeast Tennessee,Region,Hydrocodone,71452,Patients
2013,Northeast Tennessee,Region,Oxycodone,31803,Patients
2013,Northeast Tennessee,Region,Tramadol,20118,Patients
2013,Northeast Tennessee,Region,All Benzodiazepines,947,Rate
2013,Northeast Tennessee,Region,Alprazolam,393,Rate
2013,Northeast Tennessee,Region,Clonazepam,226,Rate
2013,Northeast Tennessee,Region,Diazepam,121,Rate
2013,Northeast Tennessee,Region,Lorazepam,150,Rate
2013,Northeast Tennessee,Region,All Opioids for Pain,1520,Rate
2013,Northeast Tennessee,Region,Hydrocodone,781,Rate
2013,Northeast Tennessee,Region,Oxycodone,337,Rate
2013,Northeast Tennessee,Region,Tramadol,178,Rate
2013,Obion,County,All Benzodiazepines,24904,Count
2013,Obion,County,Alprazolam,10905,Count
2013,Obion,County,Clonazepam,3149,Count
2013,Obion,County,Diazepam,3238,Count
2013,Obion,County,Lorazepam,4746,Count
2013,Obion,County,All Opioids for Pain,46077,Count
2013,Obion,County,Hydrocodone,29355,Count
2013,Obion,County,Oxycodone,6233,Count
2013,Obion,County,Tramadol,4436,Count
2013,Obion,County,All Benzodiazepines,4383,Patients
2013,Obion,County,Alprazolam,1986,Patients
2013,Obion,County,Clonazepam,617,Patients
2013,Obion,County,Diazepam,741,Patients
2013,Obion,County,Lorazepam,971,Patients
2013,Obion,County,All Opioids for Pain,10174,Patients
2013,Obion,County,Hydrocodone,7781,Patients
2013,Obion,County,Oxycodone,2195,Patients
2013,Obion,County,Tramadol,1723,Patients
2013,Obion,County,All Benzodiazepines,800,Rate
2013,Obion,County,Alprazolam,350,Rate
2013,Obion,County,Clonazepam,101,Rate
2013,Obion,County,Diazepam,104,Rate
2013,Obion,County,Lorazepam,152,Rate
2013,Obion,County,All Opioids for Pain,1480,Rate
2013,Obion,County,Hydrocodone,943,Rate
2013,Obion,County,Oxycodone,200,Rate
2013,Obion,County,Tramadol,142,Rate
2013,Overton,County,All Benzodiazepines,18188,Count
2013,Overton,County,Alprazolam,7829,Count
2013,Overton,County,Clonazepam,3635,Count
2013,Overton,County,Diazepam,2462,Count
2013,Overton,County,Lorazepam,3046,Count
2013,Overton,County,All Opioids for Pain,39135,Count
2013,Overton,County,Hydrocodone,16638,Count
2013,Overton,County,Oxycodone,12693,Count
2013,Overton,County,Tramadol,3124,Count
2013,Overton,County,All Benzodiazepines,3078,Patients
2013,Overton,County,Alprazolam,1281,Patients
2013,Overton,County,Clonazepam,678,Patients
2013,Overton,County,Diazepam,567,Patients
2013,Overton,County,Lorazepam,688,Patients
2013,Overton,County,All Opioids for Pain,7489,Patients
2013,Overton,County,Hydrocodone,4962,Patients
2013,Overton,County,Oxycodone,2818,Patients
2013,Overton,County,Tramadol,969,Patients
2013,Overton,County,All Benzodiazepines,824,Rate
2013,Overton,County,Alprazolam,355,Rate
2013,Overton,County,Clonazepam,165,Rate
2013,Overton,County,Diazepam,112,Rate
2013,Overton,County,Lorazepam,138,Rate
2013,Overton,County,All Opioids for Pain,1773,Rate
2013,Overton,County,Hydrocodone,754,Rate
2013,Overton,County,Oxycodone,575,Rate
2013,Overton,County,Tramadol,142,Rate
2013,Perry,County,All Benzodiazepines,6843,Count
2013,Perry,County,Alprazolam,3156,Count
